launch_id,launch_name,date,agency,launch_country
23538a9d-d745-4944-aec8-294c8f773cbf,Atlas-Able | P-30 (Able VA),1960-09-25T15:13:17Z,United States Air Force,USA
b3d4d5e7-b317-446c-9d08-d4e5cfa95a63,Scout X-1 | ST-2,1960-10-04T15:23:00Z,National Aeronautics and Space Administration,USA
dae8cfed-408d-4572-a461-d71e8d40e396,Thor DM-21 Ablestar | Courier 1B,1960-10-04T17:50:00Z,United States Air Force,USA
2b8ca24a-995a-49bd-a686-f937647fd47e,Molniya 8K78 | Mars-1a,1960-10-10T14:27:49Z,Soviet Space Program,KAZ
d1d6a521-65f5-44df-93ba-5f79773186f4,Atlas Agena A | Samos 1,1960-10-11T20:33:28Z,United States Air Force,USA
ba2e283c-6389-416a-9c88-541ded25c1dd,Molniya 8K78 | Mars-1b,1960-10-14T13:51:03Z,Soviet Space Program,KAZ
adca914e-1d47-47fd-a8d8-71b90dd9cbe1,Thor DM-21 Agena-B | Discoverer 16,1960-10-26T20:26:09Z,United States Air Force,USA
68c95d0d-e00a-43d9-9761-dcecd4a83413,Juno II | Explorer 8,1960-11-03T05:23:10Z,National Aeronautics and Space Administration,USA
bc401ea5-29c7-448f-87d1-84ad56f806d6,Little Joe | LJ-5,1960-11-08T15:18:00Z,National Aeronautics and Space Administration,USA
ab21d17c-aa7d-46f5-9d39-601a4793f279,Thor DM-21 Agena-B | Discoverer 17,1960-11-12T20:42:32Z,United States Air Force,USA
0abcc2bf-6243-4f2c-8c14-cac541595992,Redstone MRLV | Mercury-Redstone 1,1960-11-21T14:00:00Z,National Aeronautics and Space Administration,USA
7907f62e-09cd-476c-afb5-dfb22445caa9,Thor Delta | Tiros 2,1960-11-23T11:13:03Z,United States Air Force,USA
b5f0d805-b7b3-469c-976c-164255551f91,Thor DM-21 Ablestar | Transit 3A,1960-11-30T19:50:00Z,United States Air Force,USA
787e5a38-9f51-4543-a218-5d1e5690bb34,Vostok 8K72 | Korabl'-Sputnik-3,1960-12-01T07:30:04Z,Soviet Space Program,KAZ
83208857-199a-421b-a706-c339709aa0ab,Scout X-1 | NASA S-56,1960-12-04T21:14:00Z,National Aeronautics and Space Administration,USA
ba9b77a7-5d1b-47e9-89fc-2fc0050186df,Thor DM-21 Agena-B | Discoverer 18,1960-12-07T20:20:58Z,United States Air Force,USA
583b7dc8-2b7d-494a-a19a-4629c45f0b7d,Atlas-Able | P-31,1960-12-15T09:10:00Z,United States Air Force,USA
8089e392-6d8e-415f-9492-e80432276d49,Redstone MRLV | Mercury-Redstone 1A,1960-12-19T16:15:00Z,National Aeronautics and Space Administration,USA
5930bee2-7e3b-4792-a04b-4b3da52821c1,Thor DM-21 Agena-B | Discoverer 19,1960-12-20T20:32:00Z,United States Air Force,USA
8050ce4c-2d75-4c11-92e3-132f1db585c6,Vostok | Korabl-Sputnik (4),1960-12-22T07:45:19Z,Soviet Space Program,KAZ
41223f5d-22f2-4800-9fb8-3be646dc374c,Redstone MRLV | Mercury-Redstone 2,1961-01-31T16:55:00Z,National Aeronautics and Space Administration,USA
9279744e-46b2-4eca-adea-f1379672ec81,Atlas LV-3A | Samos 2,1961-01-31T20:21:19Z,United States Air Force,USA
c167fb61-648b-4755-9e79-0f049fee985a,Molniya 8K78 | Venera-1VA 1,1961-02-04T01:18:03Z,Soviet Space Program,KAZ
81b1848c-f813-4d2a-b318-38b94ac481a0,Molniya 8K78 | Venera-1VA 2,1961-02-12T00:34:36Z,Soviet Space Program,KAZ
fbecd232-0ae0-48ab-91ba-7048317ddd1d,Scout X-1 | Explorer 9,1961-02-16T13:05:00Z,National Aeronautics and Space Administration,USA
a5cfc4dc-c31a-4676-8614-e8eb8b84010a,Thor DM-21 Agena-B | KH-5 1,1961-02-17T20:25:02Z,United States Air Force,USA
bc175a72-2476-41b1-a998-694a3bb75ff8,Thor DM-21 Agena-B | Discoverer 21 (MIDAS RM-2),1961-02-18T22:57:58Z,United States Air Force,USA
0d523e56-5cff-48a2-8ee6-79f103164c10,Atlas LV-3B | Mercury-Atlas 2,1961-02-21T14:10:00Z,National Aeronautics and Space Administration,USA
c90b2db4-d194-4e68-9a5b-df53234e7a1b,Thor DM-21 Ablestar | Transit 3B & LOFTI-1,1961-02-22T03:45:00Z,United States Air Force,USA
9108d8aa-7a81-4cc3-95fd-0ae43e8673cf,Juno II | S-45,1961-02-25T00:13:16Z,Army Ballistic Missile Agency,USA
7e00f7c3-7648-450a-a69b-6bc94e317d04,Vostok-K | Sputnik 9,1961-03-09T06:29:00Z,Soviet Space Program,KAZ
73c17f58-0aad-4a3a-9660-9253525860ec,Little Joe | LJ-5A,1961-03-18T16:49:00Z,National Aeronautics and Space Administration,USA
a144cbcb-0622-420a-8c52-b0af849873c7,Redstone MRLV | Mercury-Redstone BD,1961-03-24T17:30:00Z,National Aeronautics and Space Administration,USA
cf87eb87-1235-4c25-99d7-2896cc8e1dbf,Vostok-K | Sputnik 10,1961-03-25T05:54:00Z,Soviet Space Program,KAZ
a2b07d66-8851-4880-8eee-95248c6e79f5,Delta DM-19 | Explorer 10,1961-03-25T15:17:04Z,United States Air Force,USA
8f46f0c6-b0b8-4440-bd54-d2be03511c78,Thor DM-21 Agena-B | Discoverer 22,1961-03-30T20:34:43Z,United States Air Force,USA
b1a75709-2ff8-497d-aa70-51b38d441cd6,Thor DM-21 Agena-B | KH-5 2,1961-04-08T19:21:08Z,United States Air Force,USA
6abb4584-1ae8-4280-ab94-eec203164091,Vostok-K | Vostok 1,1961-04-12T06:07:00Z,Soviet Space Program,KAZ
f944bd44-59c9-4da1-8330-ee4541d7a5a3,Trailblazer 1 | Trailblazer 1g,1961-04-21T05:56:20Z,National Aeronautics and Space Administration,USA
e1e4a144-47f8-489d-88ee-c41ae09cd0b7,Atlas LV-3B | Mercury-Atlas 3,1961-04-25T16:15:00Z,National Aeronautics and Space Administration,USA
f5303aad-0672-4825-96d6-996d83d1e7f2,Juno II | Explorer 11,1961-04-27T14:16:38Z,Army Ballistic Missile Agency,USA
646b10d8-b33b-4241-8982-3ea60a4fd3a8,Little Joe | LJ-5B,1961-04-28T14:03:00Z,National Aeronautics and Space Administration,USA
9fe0c6ce-7858-4915-b4e3-7c93f8e56177,Redstone MRLV | Mercury-Redstone 3,1961-05-05T14:34:13Z,National Aeronautics and Space Administration,USA
baf048e4-c41b-4edc-aa61-70be2837acb4,Juno II | S-45A,1961-05-24T19:48:05Z,Army Ballistic Missile Agency,USA
d94bf87d-b0eb-4935-8143-e8749e424d5c,Thor DM-21 Agena-B | KH-5 3,1961-06-08T21:16:00Z,United States Air Force,USA
69c1757e-bb8f-4ce2-a29a-0a4aadb6a2c9,Thor DM-21 Agena-B | Discoverer 25,1961-06-16T23:02:52Z,United States Air Force,USA
983ef2b2-df44-4af2-93f9-4263dd6b4571,Thor DM-21 Ablestar | Transit 4A & Injun-1 & Solrad 3,1961-06-29T04:23:00Z,United States Air Force,USA
fb8235f4-31ed-4726-a03a-e5322ab9cd5a,Scout X-1 | S-55,1961-06-30T17:09:00Z,National Aeronautics and Space Administration,USA
8c4ef44b-a0ad-486f-b71a-f178017c6a2e,Thor DM-21 Agena-B | Discoverer 26,1961-07-07T23:29:48Z,United States Air Force,USA
ca2c7e34-2d2b-471d-83e4-5371ab8dd11f,Delta DM-19 | Tiros-3,1961-07-12T10:25:06Z,United States Air Force,USA
ab40c85f-c07c-4735-ae84-ba41dca2569e,Atlas LV-3A | MIDAS 3,1961-07-12T15:11:46Z,United States Air Force,USA
4c732b42-e40e-4ee0-a917-bf427cea9f29,Redstone MRLV | Mercury-Redstone 4,1961-07-21T12:20:00Z,National Aeronautics and Space Administration,USA
5c685372-5050-401f-9d06-cf03a5ec4fa0,Thor DM-21 Agena-B | KH-5 4,1961-07-21T22:35:00Z,United States Air Force,USA
b7e331d8-dece-4041-8261-979f542f38de,Thor DM-21 Agena-B | Discoverer 28,1961-08-04T00:01:00Z,United States Air Force,USA
1bf16c97-1401-4948-b805-3bab2c77fdbc,Vostok-K | Vostok 2,1961-08-06T06:00:00Z,Soviet Space Program,KAZ
d859322c-ed6f-4de8-ab7a-8b3a19f0db60,Delta DM-19 | Explorer 12,1961-08-16T03:21:05Z,United States Air Force,USA
5ebb7b50-eda8-45f4-9d42-e6888d585b08,Blue Scout Jr | O-1,1961-08-17T14:29:00Z,United States Air Force,USA
0590523c-4b00-445a-bdb7-2970f04c24ce,Atlas LV-3A | Ranger 1,1961-08-23T10:04:10Z,United States Air Force,USA
eac7f345-ba58-4629-8757-aca1d081a6fb,Scout X-1 | Explorer 13,1961-08-25T18:29:44Z,National Aeronautics and Space Administration,USA
46c862f7-5b92-48bc-94ce-54615630154b,Thor DM-21 Agena-B | Discoverer 29,1961-08-30T20:00:00Z,United States Air Force,USA
f8025d66-a0eb-469d-936f-5d8b9d49baee,Atlas LV-3A | Samos 3,1961-09-09T19:28:27Z,United States Air Force,USA
586f5567-b303-44a3-9ccf-bf9d582d91c3,Thor DM-21 Agena-B | Discoverer 30,1961-09-12T19:59:00Z,United States Air Force,USA
c65cb588-b553-4cdd-a9ce-ba7878d45495,Atlas LV-3B | Mercury-Atlas 4,1961-09-13T14:04:16Z,National Aeronautics and Space Administration,USA
2c9a3d0b-55b8-4900-9082-fe61b08034d1,Thor DM-21 Agena-B | Discoverer 31,1961-09-17T21:00:00Z,United States Air Force,USA
b5d2389b-8dba-40be-b5ac-8acb316d5518,Thor DM-21 Agena-B | Discoverer 32,1961-10-13T19:22:00Z,United States Air Force,USA
1e00999b-1a44-43c8-a636-2c98ff6b0d3d,Scout X-1 | P-21,1961-10-19T17:38:00Z,National Aeronautics and Space Administration,USA
ca8c7e27-d18a-4caf-ae73-6cf4bda73171,Atlas LV-3A | MIDAS 4 & Westford-1,1961-10-21T13:53:03Z,United States Air Force,USA
da1cbbc4-dbda-40c7-8868-734ff8dcb157,Thor DM-21 Agena-B | Discoverer 33,1961-10-23T19:23:00Z,United States Air Force,USA
5aff8c15-abef-45a5-bab0-567e829cd97d,Saturn I | Saturn SA-1,1961-10-27T15:06:04Z,National Aeronautics and Space Administration,USA
7cea9893-9b33-4f69-872a-b4f83cd5284f,Kosmos-2I 63S1 | Kosmos-2I | DS-1-1,1961-10-27T16:30:00Z,Strategic Rocket Forces,RUS
5b288b8a-3861-4114-828f-8b1a363c6b73,Blue Scout II | Mercury-Scout 1,1961-11-01T15:32:00Z,National Aeronautics and Space Administration,USA
b4fd8512-5538-4b32-b151-e6fe024fcf60,Thor DM-21 Agena-B | Discoverer 34,1961-11-05T20:00:30Z,United States Air Force,USA
3303756b-7c89-4b0d-8a2a-56c6ac123cf9,Thor DM-21 Agena-B | Discoverer 35,1961-11-15T21:22:46Z,United States Air Force,USA
24c7c2a8-5066-4908-b147-74e5dd1d23e3,Thor DM-21 Ablestar | Transit 4B & TRAAC,1961-11-15T22:26:00Z,United States Air Force,USA
aadc8a1d-6ea1-4faf-a854-c271566d098f,Atlas LV-3A | Ranger 2,1961-11-18T08:12:00Z,United States Air Force,USA
602ee780-2016-45a3-9baa-802574b6548f,Atlas LV-3A | Samos 4,1961-11-22T20:45:47Z,United States Air Force,USA
c68999b7-a4bc-4510-ae6d-60fd1a9618c5,Atlas LV-3B | Mercury-Atlas 5,1961-11-29T15:07:57Z,National Aeronautics and Space Administration,USA
66201539-d2d1-402f-80fc-2314a936ad35,Blue Scout Jr | Blue Scout Jr. O-2,1961-12-04T04:00:16Z,United States Air Force,USA
812ba1f4-909f-48a5-b57f-93fda2f709e4,Vostok-K | Zenit-2 1,1961-12-11T09:39:02Z,Soviet Space Program,KAZ
b72ea585-14dc-4aa7-b257-5b7f2dcb9bf0,Thor DM-21 Agena-B | Discoverer 36 & OSCAR 1,1961-12-12T20:40:00Z,United States Air Force,USA
84a7f81c-2b95-4809-ba4b-dba4d178fd36,Kosmos-2I 63S1 | DS-1 2,1961-12-21T12:30:00Z,Strategic Rocket Forces,RUS
8dc32887-ae1c-4d82-acf3-78726d8946e9,Atlas LV-3A | Samos 5,1961-12-22T19:12:33Z,United States Air Force,USA
83f07d31-0783-4bbe-b84d-229836c4c07b,Thor DM-21 Agena-B | Discoverer 37,1962-01-13T21:41:02Z,United States Air Force,USA
d5e7b928-9733-4887-86d0-fbc53331e322,Thor DM-21 Ablestar | 5 Payloads Rideshare,1962-01-24T09:30:00Z,United States Air Force,USA
427b571c-e04b-4ad1-8ccd-3235674f1cc2,Atlas Agena B | Ranger 3,1962-01-26T20:30:11Z,United States Air Force,USA
84e3f7f7-33dc-4a22-9467-984ab44f42f6,Thor Delta | Tiros 4,1962-02-08T12:43:45Z,United States Air Force,USA
ef68f324-c31b-471c-b401-2ce64aaa229c,Atlas LV-3B | Mercury-Atlas 6,1962-02-20T14:47:39Z,National Aeronautics and Space Administration,USA
118a5b69-3c6f-41f3-9b4c-9297b522d33d,Thor DM-21 Agena-B | P-102 Group 0-D,1962-02-21T18:44:00Z,United States Air Force,USA
d6772a56-b47e-425c-a445-206613749e26,Thor DM-21 Agena-B | KH-4 1,1962-02-27T19:39:20Z,United States Air Force,USA
953e56aa-e627-4151-b9b6-626044ced647,Thor Delta | OSO 1,1962-03-07T16:06:18Z,United States Air Force,USA
a0a5ef8a-f0f1-490b-a444-a74040aed356,Atlas Agena B | Samos 6,1962-03-07T22:10:31Z,United States Air Force,USA
851d10cc-e44c-48d2-83e3-5e9103d7d389,Kosmos-2I 63S1 | DS-2 1,1962-03-16T11:59:00Z,Soviet Space Program,RUS
102e2f02-0c9f-47f0-a4b2-1583b6982d3a,Scout X-2 | P-21A,1962-03-29T07:27:00Z,National Aeronautics and Space Administration,USA
bb28d685-2d4d-45b4-b614-b23ee2a777b7,Kosmos-2I 63S1 | 1MS 1,1962-04-06T17:15:00Z,Soviet Space Program,RUS
f113636a-3c3e-4db0-b057-94449b9eb872,Atlas Agena B | Midas 5,1962-04-09T15:04:48Z,United States Air Force,USA
6cafa345-f83b-4974-99ff-5fe7cb5d1797,Thor DM-21 Agena-B | KH-4 2,1962-04-18T00:53:47Z,United States Air Force,USA
7f935a77-99ad-40dc-9dcd-9f63f04c79fe,Atlas Agena B | Ranger 4,1962-04-23T20:50:00Z,United States Air Force,USA
1e0c9df8-297b-4d82-974a-ea47ded5f860,Kosmos-2I 63S1 | Sputnik 13,1962-04-24T04:00:00Z,Soviet Space Program,RUS
2d5166a1-579a-4a2e-b153-4caa3d4b8c42,Saturn I | Saturn SA-2,1962-04-25T14:00:34Z,National Aeronautics and Space Administration,USA
f6e14f90-a5dc-472e-acf6-4aac471ffb6b,Vostok | Zenit-2 2,1962-04-26T10:02:00Z,Soviet Space Program,KAZ
0e2da711-13e9-4730-b109-a0833296534b,Scout X-2 | SOLRAD 4B,1962-04-26T10:49:00Z,US Navy,USA
d2983489-21bd-47b7-aa63-54b4aa90755f,Thor Delta | Ariel 1,1962-04-26T18:00:16Z,United States Air Force,USA
457af90c-8ada-4db7-9be9-3bcca545a371,Atlas Agena B | Samos-E6 1,1962-04-26T18:56:08Z,United States Air Force,USA
510c717a-a8a3-4a65-a201-2f398eb70e7b,Thor DM-21 Agena-B | KH-4 3,1962-04-29T00:30:12Z,United States Air Force,USA
e08b33b0-8e29-4f03-8710-031223a550c8,Trailblazer 2 | Trailblazer IIb,1962-05-06T05:41:00Z,National Aeronautics and Space Administration,USA
